no,npm,jk,ips3,ips4,ips5,ips6,ipk,lulus,tepat,ld3,sesuai
1,103015520108001,1,3.60,3.58,3.05,3.70,3.49,2021,2,2,2
2,103015520108002,1,3.60,3.68,3.30,3.85,3.55,2021,2,2,2
3,103015520108003,1,3.05,3.05,3.30,3.40,3.14,2021,2,2,2
4,103015520108006,1,0,0,0,0,0,0,0,0,0
5,103015520108007,1,3.30,3.42,3.55,3.70,3.36,2021,2,2,2
6,103015520108008,2,3.05,3.21,3.20,3.40,3.21,2021,2,2,2
7,103015520108010,1,0,0,0,0,0,0,0,0,0
8,103015520108011,1,0,0,0,0,0,0,0,0,0
9,103015520108012,1,3.35,3.00,2.85,3.10,3.14,2021,2,2,2
10,103015520108014,1,2.80,2.68,2.90,3.30,2.79,2021,1,1,1
11,103015520108015,1,0,0,0,0,0,0,0,0,0
12,103015520108016,1,0,0,0,0,0,0,0,0,0
13,103015520108017,1,3.30,2.79,3.45,3.55,3.19,2021,2,2,2
14,103015520108020,1,0,0,0,0,0,0,0,0,0
15,103015520108021,1,3.05,2.79,3.00,2.85,2.92,2021,1,1,1
16,103015520108022,2,0,0,0,0,0,0,0,0,0
17,103015520108023,2,3.00,2.95,3.45,4.00,0,0,0,0,0
18,103015520108024,1,3.05,2.84,3.25,3.25,3.08,2021,1,2,1
19,103015520108025,1,2.55,2.53,2.60,2.70,2.60,2021,1,1,1
20,103015520108027,1,0,0,0,0,0,0,0,0,0